Verb;Präposition;Fall;Beispiel
ab-hängen;von;Dat;
achten;auf;Akk;
etwas ändern;an;Dat;
an-fangen;mit;Dat;
an-kommen;auf;Akk;
antworten;auf;Akk;
arbeiten;an;Dat;
sich ärgern;über;Akk;
auf-hören;mit;Dat;
auf-passen;auf;Akk;
sich auf-regen;über;Akk;
aus-geben;für;Akk;
sich bedanken;bei;Dat;
sich bedanken;für;Akk;
beginnen;mit;Dat;
sich beklagen;bei;Dat;
sich beklagen;über;Akk;
sich bemühen;um;Akk;
berichten;über;Akk;
sich beschäftigen;mit;Dat;
sich beschweren;bei;Dat;
sich beschweren;über;Akk;
bestehen;aus;Dat;
sich bewerben;um;Akk;
jemanden bitten;um;Akk;
jemandem danken;für;Akk;
denken;an;Akk;
sich eignen;für;Akk;
jemanden ein-laden;zu;Dat;
sich engagieren;für;Akk;
sich entscheiden;für;Akk;
sich entschließen;zu;Dat;
sich entschuldigen;bei;Dat;
sich entschuldigen;für;Akk;
sich erholen;von;Dat;
sich erinnern;an;Akk;
erkennen;an;Dat;
sich erkundigen;bei;Dat;
sich erkundigen;nach;Dat;
erzählen;von;Dat;
fliehen;vor;Dat;
fragen;nach;Dat;
sich freuen;auf;Akk;
sich freuen;über;Akk;
sich fürchten;vor;Dat;
gehören;zu;Dat;
es geht;um;Akk;
sich gewöhnen;an;Akk;
glauben;an;Akk;
jemandem gratulieren;zu;Dat;
handeln;von;Dat;
es handelt sich;um;Akk;
halten;für;Akk;
halten;von;Dat;
jemandem helfen;bei;Dat;
hören;von;Dat;
hoffen;auf;Akk;
(sich) informieren;über;Akk;
sich interessieren;für;Akk;
kämpfen;für;Akk;
kämpfen;gegen;Akk;
kämpfen;um;Akk;
sich kümmern;um;Akk;
lachen;über;Akk;
leiden;an;Dat;
leiden;unter;Dat;
es liegt;an;Dat;
nach-denken;über;Akk;
passen;zu;Dat;
protestieren;gegen;Akk;
rechnen;mit;Dat;
riechen;nach;Dat;
schmecken;nach;Dat;
(etwas) schreiben;an;Akk;
sich sehnen;nach;Dat;
sorgen;für;Akk;
sich sorgen;um;Akk;
sprechen;mit;Dat;
sprechen;über;Akk;
sprechen;von;Dat;
sterben;an;Dat;
sich streiten;mit;Dat;
(sich) streiten;um;Akk;
suchen;nach;Dat;
teil-nehmen;an;Dat;
telefonieren;mit;Dat;
träumen;von;Dat;
trennen;von;Dat;
jemanden überreden;zu;Dat;
jemanden überzeugen;von;Dat;
sich unterhalten;über;Akk;
sich unterscheiden;von;Dat;
sich verabreden;mit;Dat;
vergleichen;mit;Dat;
sich verlassen;auf;Akk;
sich verlieben;in;Akk;
sich vertragen;mit;Dat;
sich vor-bereiten;auf;Akk;
jemanden warnen;vor;Dat;
warten;auf;Akk;
sich wenden;an;Akk;
wissen;von;Dat;
sich wundern;über;Akk;
zweifeln;an;Dat;
