Satz;Übersetzung
Wann fängst du mit deinem Studium an?;When do you start your studies?;
Liebe Heike! Ich habe mich sehr über deine Postkarte gefreut.;
Es gibt viele Menschen, die an eine Wiedergeburt nach dem Tod glauben.;
Ich habe vergessen, Johannes nach seiner Schwester zu fragen.;
Habt ihr in der Schule nicht über dieses Thema gesprochen.;
Wir warten immer noch auf die Ergebnisse der Untersuchung.;
Meine Frau hat mich von dieser Idee überzeugt.;
Ich erinnere mich. Lukas hat mir von dem Film erzählt.;
Wegen einer starken Erkältung kann ich leider nicht am Unterricht teilnehmen.;
Francesca hat sich monatelang auf das Examen vorbereitet.;
Ich werde mich bei ihrem Chef über ihr- Verhalten beschweren.;
Hoffentlich könnt ihr euch gut von dem Stress der letzten Wochen erholen.;
Immer wenn ich in Berlin bin, denke ich an meine Großmutter.;
Es ist schön zu wissen, dass man sich auf seine Freunde verlassen kann.;
Marcus ist ein Pessimist. Er rechnet immer mit dem Schlimmsten.;
